student_id,trial,reaction_ms
S01,1,241
S01,2,261
S01,3,217
S02,1,662
S02,2,340
S02,3,256
S03,1,284
S03,2,376
S03,3,251
S04,1,291
S04,2,242
S04,3,285
S05,1,328
S05,2,381
S05,3,375
S06,1,270
S06,2,232
S06,3,272
S07,1,223
S07,2,285
S07,3,297
S08,1,237
S08,2,246
S08,3,207
S09,1,245
S09,2,266
S09,3,250
S10,1,270
S10,2,239
S10,3,605
S11,1,298
S11,2,367
S11,3,352
S12,1,319
S12,2,436
S12,3,421
S13,1,282
S13,2,275
S13,3,301
S14,1,231
S14,2,195
S14,3,215
S15,1,315
S15,2,342
S15,3,262
S16,1,248
S16,2,331
S16,3,276
S17,1,336
S17,2,421
S17,3,363
S18,1,285
S18,2,277
S18,3,350
S19,1,346
S19,2,328
S19,3,313
S20,1,252
S20,2,260
S20,3,248
S21,1,254
S21,2,256
S21,3,249
S22,1,251
S22,2,253
S22,3,234
S23,1,198
S23,2,248
S23,3,201
S24,1,289
S24,2,241
S24,3,247
